	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16
Baden-Württemberg	—	1	3	6	10	14	15	19	26	44	73	96	170	182	204	237	277	454	454	569	827	1.105
Bayern	14	14	14	14	15	15	19	25	35	48	70	117	134	172	256	314	366	500	558	681	886	1.067
Berlin	—	—	—	—	—	—	—	1	3	6	13	19	28	40	48	48	90	137	174	216	265	300
Brandenburg	—	—	—	—	—	—	—	—	1	1	1	2	2	4	6	9	24	30	44	61	84	94
Bremen	—	—	—	—	—	—	1	1	1	2	3	4	4	4	4	4	21	38	42	50	53	56
Hamburg	—	—	—	—	—	—	1	1	2	2	5	11	13	13	17	29	48	88	99	158	162	260
Hessen	2	2	2	2	2	5	10	12	12	12	14	16	17	19	26	35	48	99	148	203	286	342
Mecklenburg-Vorpommern	—	—	—	—	—	—	—	—	—	3	4	5	5	8	10	13	17	23	33	45	50	51
Niedersachsen	—	—	—	—	—	—	1	1	1	4	18	18	19	21	38	49	75	129	230	253	287	391
Nordrhein-Westfalen	—	1	2	4	25	30	66	86	101	111	181	329	373	398	484	484	484	688	936	1.154	1.407	1.541
Rheinland-Pfalz	—	—	—	—	—	1	2	2	2	2	8	10	13	19	17	25	25	52	102	121	168	325
Saarland	—	—	—	—	—	—	—	—	—	1	1	2	3	4	6	7	14	14	40	40	32	85
Sachsen	—	—	—	—	—	—	—	—	1	1	1	2	4	7	12	22	26	45	83	93	130	140
Sachsen-Anhalt	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	7	15	27	42	45	47	77
Schleswig-Holstein	—	—	—	—	1	1	2	2	2	2	7	7	8	9	9	9	27	31	48	60	103	123
Thüringen	—	—	—	—	—	—	—	—	1	1	1	1	2	2	2	4	10	14	29	46	51	55
 Gesamt	16	18	21	26	53	66	117	150	188	240	400	639	795	902	1.139	1.296	1.567	2.369	3.062	3.795	4.838	6.012
